1;250000;21;13
2;300000;21;12
3;900000;22;14
4;1000000;23;14
5;600000;27;11
6;327777;27;12
7;3800000;28;15
8;2600000;28;14
9;6000000;21;15
10;784000;25;16
11;555444;23;16
12;300000;29;12
13;500000;28;14
14;800000;21;16
15;60000;24;14
16;750000;25;112
17;850000;29;113
18;490000;21;15
19;950000;27;113
20;1000000;22;115
21;963000;29;118
22;950007;25;117
23;476000;23;13
24;960000;22;15
25;934700;22;113
26;570000;24;16
27;963000;28;16
28;796411;26;15
29;654111;25;117
30;950000;28;112
33;700000.0;13;800
